日期,消耗,素材数,转化数,CTR
2026-07-01,28979.22,561,58440.68,11.54
2026-07-02,35549.16,653,68655.09,12.79
2026-07-03,39219.55,653,58353.26,9.96
2026-07-04,22529.81,653,35270.40,7.96
2026-07-05,29813.64,615,54139.52,9.85
2026-07-06,28609.64,656,68110.47,11.63
2026-07-07,22743.67,656,68101.64,15.15
2026-07-08,16613.84,736,37192.52,11.33
2026-07-09,14204.01,736,11921.78,11.14
2026-07-10,15565.71,864,20863.05,11.53
2026-07-11,18307.08,760,32329.13,13.30
2026-07-12,21185.24,628,41816.71,14.59
2026-07-13,24264.98,561,59151.16,15.52
2026-07-14,25863.33,910,53603.41,10.11
2026-07-15,26250.03,910,61939.32,13.03
2026-07-16,30418.43,1090,68060.98,12.83
2026-07-17,28455.85,1105,35335.16,11.89
2026-07-18,32083.92,863,19968.27,11.95
2026-07-19,38142.18,827,37608.25,12.69
2026-07-20,21592.00,823,19998.52,12.04
2026-07-21,32197.85,823,22150.28,12.64
2026-07-22,30441.72,860,19692.35,12.32
2026-07-23,34248.62,860,13268.89,10.36
2026-07-24,40279.83,907,10361.46,12.19
2026-07-25,21320.00,786,11034.09,10.08
2026-07-26,20152.36,685,14059.39,8.54
2026-07-27,14983.12,561,8382.84,9.31
2026-07-28,15923.78,749,12593.27,10.18
2026-07-29,12708.37,781,18474.98,10.82
2026-07-30,15615.28,617,17854.74,13.34
2026-07-31,1414.26,421,67.96,5.71
2026-08-01,6462.76,533,11416.11,9.95
