日期,素材ID,素材名,消耗,展示数,点击数,转化成本,转化数,CTR,素材标签,封面链接,预览链接
2026-08-27,13940198672,CH-SC-低活-10098882079537-超级抢购-厨具-无-剪辑-转化引导-厨具-20260716-无-625-aigc-1,9502.58,116270,56744,7.81,1216.72,48.80,平台一组AIGC|心如|快手原创素材|快手非低质素材|福利价,,
2026-08-27,13873191026,CH-SC-低活-10140917922437-超级抢购-家庭清洁-无-剪辑-转化引导-家庭清洁-20260709-无-625-aigc-2,2053.66,109092,3379,15.80,129.98,3.10,平台一组AIGC|心如|快手重复素材|快手非低质素材|福利价|腾讯首发素材,,
2026-08-27,14095132360,CH-SC-广义新-10136363822650-新综合频道-纸品-京喜拉新-剪辑-转化引导-纸品-20260804-无-625-13,1764.59,52083,5617,56.92,31.00,10.78,平台一组AIGC|广义新头条|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,14095141726,CH-SC-广义新-10136363822650-新综合频道-纸品-京喜拉新-剪辑-转化引导-纸品-20260804-无-625-6,1547.75,65934,7216,70.35,22.00,10.94,广义新头条|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,13846372517,CH-SC-低活-10112643484929-超级抢购-手机通讯-无-剪辑-转化引导-手机通讯-20260708-无-625-aigc-5,1471.99,123249,1638,16.54,89.00,1.33,DHX扒起量0706|平台一组AIGC|心如|快手重复素材|快手非低质素材|福利价,,
2026-08-27,14088475068,CH-SC-低活-10223570717754-超级抢购-生鲜-无-剪辑-转化引导-生鲜-20260803-无-625-aigc-7,1413.12,58678,1737,13.21,106.97,2.96,平台一组AIGC|心如|福利价|腾讯首发素材,,
2026-08-27,13846370672,CH-SC-低活-10112643484929-超级抢购-手机通讯-无-剪辑-转化引导-手机通讯-20260708-无-625-aigc-4,947.87,66397,1094,15.29,61.99,1.65,DHX扒起量0706|平台一组AIGC|心如|快手重复素材|快手非低质素材|福利价|腾讯首发素材,,
2026-08-27,14050213136,CH-SC-广义新-10187000434970-新综合频道-厨具-京喜拉新-剪辑-转化引导-厨具-20260730-无-625-2,755.68,181006,10112,75.57,10.00,5.59,广义新头条|心如|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,13685269854,CH-SC-低活-10220560400432-超级抢购加补-生活日用-无-剪辑-转化引导-生活日用-20260626-无-625-aigc-15,661.23,26358,539,11.40,58.00,2.04,平台一组AIGC|心如|快手重复素材|快手非低质素材|福利价|腾讯首发素材,,
2026-08-27,13846015115,CH-SC-广义新-10140917922437-新综合频道-家庭清洁-京喜拉新-剪辑-转化引导-家庭清洁-20260710-无-625-aigc-11,618.12,73021,11465,68.68,9.00,15.70,平台一组AIGC|广义新头条|心如|快手原创素材|快手非低质素材|无价格|腾讯首发素材,,
2026-08-27,14049383680,CH-SC-低活-10142433952187-超级抢购-厨具-无-剪辑-转化引导-厨具-20260727-无-625-aigc-4,604.61,43547,21864,86.37,7.00,50.21,平台一组AIGC|心如|快手重复素材|快手非低质素材,,
2026-08-27,13486885202,CH-SC-广义新-无-新10元话费券-10元话费券-京喜拉新-剪辑-转化引导-10元话费券-20260605-无-625-4,604.25,30333,2564,27.47,22.00,8.45,快手重复素材|快手非低质素材|腾讯首发素材,,
