日期,素材ID,素材名,消耗,展示数,点击数,转化成本,转化数,CTR,封面链接,预览链接
2026-07-01,13614624623,CH-SC-广义新-10134479334759-新综合频道-钟表眼镜-京喜拉新-剪辑-转化引导-钟表眼镜-20260618-无-625-aigc-7,2618.99,108649,2479,30.45,86.01,2.28,,
2026-07-01,13559844535,CH-PRJ-采销项目-10204138700158-快手安卓-外卖美食-无-剪辑-转化引导-外卖美食-20260612-无-625-6,2418.05,82062,34327,0.14,17271.79,41.83,,
2026-07-01,13559888558,CH-SC-广义新-10139440032542-新综合频道-运动户外-京喜拉新-剪辑-转化引导-运动户外-20260612-无-625-7,1905.18,122109,2024,51.49,37.00,1.66,,
2026-07-01,13685269945,CH-SC-低活-10220560400432-超级抢购加补-生活日用-无-剪辑-转化引导-生活日用-20260626-无-625-aigc-13,1738.13,51652,3764,69.53,25.00,7.29,,
2026-07-01,13559844150,CH-PRJ-采销项目-10204138700158-快手安卓-外卖美食-无-剪辑-转化引导-外卖美食-20260612-无-625-2,1445.39,46925,20210,0.15,9635.93,43.07,,
2026-07-01,13559844197,CH-PRJ-采销项目-10204138700158-快手安卓-外卖美食-无-剪辑-转化引导-外卖美食-20260612-无-625-3,1431.88,37607,18543,0.13,11014.46,49.31,,
2026-07-01,13603419701,CH-SC-低活-10172627929072-超级抢购加补-家装建材-无-剪辑-转化引导-家装建材-20260617-无-625-aigc-22,1279.45,55997,1453,41.27,31.00,2.59,,
2026-07-01,13536549173,CH-SC-低活-10219841541026-超级抢购加补-厨具-无-剪辑-转化引导-厨具-20260610-无-625-aigc-10,1266.64,49330,1781,43.68,29.00,3.61,,
2026-07-01,13685269854,CH-SC-低活-10220560400432-超级抢购加补-生活日用-无-剪辑-转化引导-生活日用-20260626-无-625-aigc-15,1246.82,60009,1282,47.95,26.00,2.14,,
2026-07-01,13559844692,CH-PRJ-采销项目-10204138700158-快手安卓-外卖美食-无-剪辑-转化引导-外卖美食-20260612-无-625-7,863.50,15573,8114,0.16,5396.88,52.10,,
2026-07-01,13614625693,CH-SC-广义新-10134479334759-新综合频道-钟表眼镜-京喜拉新-剪辑-转化引导-钟表眼镜-20260618-无-625-aigc-8,801.81,14147,1147,38.18,21.00,8.11,,
2026-07-01,13603369641,CH-SC-低活-10139440032542-超级抢购加补-运动户外-无-剪辑-转化引导-运动户外-20260617-无-625-aigc-15,773.51,64559,1011,110.50,7.00,1.57,,
2026-07-01,13603409509,CH-SC-低活-10172627929072-超级抢购加补-家装建材-无-剪辑-转化引导-家装建材-20260617-无-625-aigc-4,737.82,40294,637,46.11,16.00,1.58,,
2026-07-01,13559845188,CH-PRJ-采销项目-10204138700158-快手安卓-外卖美食-无-剪辑-转化引导-外卖美食-20260612-无-625-10,650.48,9081,6243,0.19,3423.58,68.75,,
2026-07-01,13559844857,CH-PRJ-采销项目-10204138700158-快手安卓-外卖美食-无-剪辑-转化引导-外卖美食-20260612-无-625-8,642.69,10310,6119,0.17,3780.53,59.35,,
2026-07-01,13614627498,CH-SC-广义新-10134479334759-新综合频道-钟表眼镜-京喜拉新-剪辑-转化引导-钟表眼镜-20260618-无-625-aigc-12,541.98,15351,1146,45.17,12.00,7.47,,
2026-07-01,13581448625,CH-SC-广义新-10130866966155-新综合频道-服饰内衣-京喜拉新-剪辑-转化引导-服饰内衣-20260615-反向-625-aigc-13,519.12,23513,2849,64.89,8.00,12.12,,
2026-07-01,13421931061,CH-SC-广义新-10155085148227-新综合频道-家用电器-京喜拉新-剪辑-转化引导-家用电器-20260528-无-625-14,471.76,13586,6043,117.94,4.00,44.48,,
2026-07-01,13486885202,CH-SC-广义新-无-新10元话费券-10元话费券-京喜拉新-剪辑-转化引导-10元话费券-20260605-无-625-4,384.64,18397,1943,54.95,7.00,10.56,,
2026-07-01,13559845061,CH-PRJ-采销项目-10204138700158-快手安卓-外卖美食-无-剪辑-转化引导-外卖美食-20260612-无-625-9,381.15,6385,3548,0.18,2117.50,55.57,,
2026-07-01,13471059670,CH-SC-低活-10147800266661-超级抢购加补-家庭清洁-无-剪辑-转化引导-家庭清洁-20260603-无-625-4,360.84,25606,1966,7.36,49.03,7.68,,
2026-07-01,13603418713,CH-SC-低活-10172627929072-超级抢购加补-家装建材-无-剪辑-转化引导-家装建材-20260617-无-625-aigc-21,359.84,20795,1331,71.97,5.00,6.40,,
2026-07-01,13397056832,CH-SC-广义新-10219841541026-新综合频道-厨具-京喜拉新-剪辑-转化引导-厨具-20260526-反向-625-aigc-8,323.99,15068,417,32.40,10.00,2.77,,
2026-07-01,13559844369,CH-PRJ-采销项目-10204138700158-快手安卓-外卖美食-无-剪辑-转化引导-外卖美食-20260612-无-625-5,315.06,6874,3266,0.16,1969.12,47.51,,
2026-07-01,13614624762,CH-SC-广义新-10134479334759-新综合频道-钟表眼镜-京喜拉新-剪辑-转化引导-钟表眼镜-20260618-无-625-aigc-5,304.94,25529,731,30.49,10.00,2.86,,
2026-07-01,13559845298,CH-PRJ-采销项目-10204138700158-快手安卓-外卖美食-无-剪辑-转化引导-外卖美食-20260612-无-625-1,282.48,4903,2751,0.16,1765.50,56.11,,
2026-07-01,13559845354,CH-PRJ-采销项目-10204138700158-快手安卓-外卖美食-无-剪辑-转化引导-外卖美食-20260612-无-625-4,270.70,4792,2661,0.17,1592.35,55.53,,
2026-07-01,13559888815,CH-SC-广义新-10139440032542-新综合频道-运动户外-京喜拉新-剪辑-转化引导-运动户外-20260612-无-625-9,253.77,16099,587,50.75,5.00,3.65,,
2026-07-01,13341766059,CH-SC-广义新-10219841541026-新综合频道-厨具-京喜拉新-剪辑-转化引导-厨具-20260520-反向-625-8,205.11,9578,234,51.28,4.00,2.44,,
2026-07-01,13603329865,CH-SC-广义新-10139440032542-新综合频道-运动户外-京喜拉新-剪辑-转化引导-运动户外-20260617-无-625-aigc10,186.49,16245,227,46.62,4.00,1.40,,
2026-07-01,13536545427,CH-SC-低活-10219841541026-超级抢购加补-厨具-无-剪辑-转化引导-厨具-20260610-无-625-aigc-4,151.66,1356,67,151.66,1.00,4.94,,
2026-07-01,13603383616,CH-SC-低活-10217740550325-超级抢购加补-箱包皮具-无-剪辑-转化引导-箱包皮具-20260617-无-625-aigc-5,144.46,9605,255,48.15,3.00,2.65,,
2026-07-01,13471026270,CH-SC-广义新-10207980850814-新综合频道-家用电器-京喜拉新-剪辑-转化引导-家用电器-20260602-反向-625-aigc-5,139.70,2095,229,69.85,2.00,10.93,,
2026-07-01,13662880805,CH-SC-低活-10134479334759-超级抢购通用-钟表眼镜-无-剪辑-转化引导-钟表眼镜-20260624-无-625-AIGC-16,132.98,48996,513,33.25,4.00,1.05,,
2026-07-01,13341765349,CH-SC-广义新-10219841541026-新综合频道-厨具-京喜拉新-剪辑-转化引导-厨具-20260520-反向-625-7,114.17,10514,803,57.09,2.00,7.64,,
2026-07-01,13581453402,CH-SC-低活-10147800266661-超级抢购加补-家庭清洁-无-剪辑-转化引导-家庭清洁-20260615-无-625-aigc-9,112.31,8613,516,112.31,1.00,5.99,,
2026-07-01,13341768699,CH-SC-广义新-10219841541026-新综合频道-厨具-京喜拉新-剪辑-转化引导-厨具-20260520-反向-625-14,108.73,5406,216,54.37,2.00,4.00,,
2026-07-01,13547605427,CH-SC-低活-10140207411553-超级抢购加补-文教文化用品-无-剪辑-转化引导-文教文化用品-20260611-无-625-4,107.79,2822,607,107.79,1.00,21.51,,
2026-07-01,13722927139,CH-SC-低活-10118706992345-超级抢购加补-纸品-无-剪辑-转化引导-纸品-20260629-无-625-aigc-5,105.92,3611,342,0.00,0.00,9.47,,
2026-07-01,13651806238,CH-SC-低活-10147800266661-超级抢购加补-家庭清洁-无-剪辑-转化引导-家庭清洁-20260623-无-625-1,103.34,1669,195,0.00,0.00,11.68,,
2026-07-01,13559884894,CH-SC-广义新-10120132288166-新综合频道-运动户外-京喜拉新-剪辑-转化引导-运动户外-20260612-无-625-3,103.02,11435,119,20.60,5.00,1.04,,
2026-07-01,13603411505,CH-SC-低活-10172627929072-超级抢购加补-家装建材-无-剪辑-转化引导-家装建材-20260617-无-625-aigc-5,98.73,7309,235,49.37,2.00,3.22,,
2026-07-01,13559885868,CH-SC-广义新-10120132288166-新综合频道-运动户外-京喜拉新-剪辑-转化引导-运动户外-20260612-无-625-7,93.95,19825,76,31.32,3.00,0.38,,
2026-07-01,13673847811,CH-SC-低活-10081585918372-超级抢购-纸品-无-剪辑-转化引导-纸品-20260625-无-625-aigc-10,91.84,14743,607,45.92,2.00,4.12,,
2026-07-01,13614653474,CH-SC-低活-10147800266661-超级抢购加补-家庭清洁-无-剪辑-转化引导-家庭清洁-20260618-无-625-aigc-10,85.74,31057,3409,0.00,0.00,10.98,,
2026-07-01,13536545311,CH-SC-低活-10219841541026-超级抢购加补-厨具-无-剪辑-转化引导-厨具-20260610-无-625-aigc-3,78.73,1177,50,78.73,1.00,4.25,,
2026-07-01,13662881467,CH-SC-低活-10134479334759-超级抢购通用-钟表眼镜-无-剪辑-转化引导-钟表眼镜-20260624-无-625-AIGC-4,73.34,17749,323,0.00,0.00,1.82,,
2026-07-01,13614626731,CH-SC-广义新-10134479334759-新综合频道-钟表眼镜-京喜拉新-剪辑-转化引导-钟表眼镜-20260618-无-625-aigc-11,64.48,5707,1181,0.00,0.00,20.69,,
2026-07-01,13547619349,CH-SC-低活-10217613031260-好价清单-休闲食品-无-剪辑-转化引导-休闲食品-20260611-无-625-12,52.61,5075,149,0.00,0.00,2.94,,
